file_path,duration_h,n_channels,sfreq,step,elapsed_s,working_set_mb,private_mb,cpu_percent,smoothness_score,visible_window_s,filter_mode,reference_mode,notes
,,,,start,,234.367,1156.434,25.485,,,,,MainWindow initialized
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_long_window,0.185836,257.852,1333.730,71.384,,100.000000,off,monopolar,visible_channels=35; plotted_points=2942; read_window_s=0.0184; downsample_s=0.0223; plot_s=0.1403
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_long_window,0.184888,257.863,1333.730,100.765,,100.000000,off,monopolar,visible_channels=35; plotted_points=2942; read_window_s=0.0188; downsample_s=0.0224; plot_s=0.1388
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_long_window,0.185963,258.684,1334.520,18.837,,100.000000,off,monopolar,visible_channels=35; plotted_points=2942; read_window_s=0.0181; downsample_s=0.0216; plot_s=0.1414
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_long_window,0.183688,256.277,1332.109,101.396,,100.000000,off,monopolar,visible_channels=35; plotted_points=2942; read_window_s=0.0193; downsample_s=0.0228; plot_s=0.1368
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_long_window,0.194511,258.016,1333.691,1.521,,100.000000,off,monopolar,visible_channels=35; plotted_points=2942; read_window_s=0.0183; downsample_s=0.0266; plot_s=0.1444
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_long_window,0.191220,258.062,1333.691,97.355,,100.000000,off,monopolar,visible_channels=35; plotted_points=2942; read_window_s=0.0200; downsample_s=0.0259; plot_s=0.1407
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_long_window,0.190856,258.859,1334.480,24.573,,100.000000,off,monopolar,visible_channels=35; plotted_points=2942; read_window_s=0.0183; downsample_s=0.0258; plot_s=0.1418
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_long_window,0.188986,257.352,1332.961,98.487,,100.000000,off,monopolar,visible_channels=35; plotted_points=2942; read_window_s=0.0208; downsample_s=0.0263; plot_s=0.1368
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_long_window,0.194669,258.820,1334.234,7.041,,100.000000,off,monopolar,visible_channels=35; plotted_points=2942; read_window_s=0.0227; downsample_s=0.0266; plot_s=0.1398
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_long_window,0.164600,258.824,1334.234,103.833,,100.000000,off,monopolar,visible_channels=35; plotted_points=2942; read_window_s=0.0200; downsample_s=0.0259; plot_s=0.1130
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_long_window,0.159151,258.852,1334.234,11.541,,100.000000,off,monopolar,visible_channels=35; plotted_points=2942; read_window_s=0.0213; downsample_s=0.0265; plot_s=0.1061
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_long_window,0.168369,258.863,1334.234,101.522,,100.000000,off,monopolar,visible_channels=35; plotted_points=2942; read_window_s=0.0218; downsample_s=0.0266; plot_s=0.1142
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_long_window,0.146155,259.688,1335.027,18.631,,100.000000,off,monopolar,visible_channels=35; plotted_points=2942; read_window_s=0.0197; downsample_s=0.0209; plot_s=0.1007
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_long_window,0.176901,257.496,1332.832,105.198,,100.000000,off,monopolar,visible_channels=35; plotted_points=2942; read_window_s=0.0179; downsample_s=0.0215; plot_s=0.1325
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_long_window,0.194171,262.715,1337.328,5.874,,100.000000,off,monopolar,visible_channels=35; plotted_points=2942; read_window_s=0.0195; downsample_s=0.0259; plot_s=0.1436
