file_path,duration_h,n_channels,sfreq,step,elapsed_s,working_set_mb,private_mb,cpu_percent,smoothness_score,visible_window_s,filter_mode,reference_mode,notes
,,,,start,,229.961,1156.629,57.132,,,,,MainWindow initialized
D:\omni dataset complement\updated_dataset\bids\sub-hupHUP130\ses-01\ieeg\sub-hupHUP130_ses-01_task-interictal_run-02_ieeg.edf,0.083333,109,1024,after_render_short_window,0.114943,157.000,1311.301,6.065,,10.000000,off,monopolar,visible_channels=32; plotted_points=2926; read_window_s=0.0065; downsample_s=0.0079; plot_s=0.0986
D:\omni dataset complement\updated_dataset\bids\sub-hupHUP130\ses-01\ieeg\sub-hupHUP130_ses-01_task-interictal_run-02_ieeg.edf,0.083333,109,1024,after_render_short_window,0.112330,156.664,1310.965,96.457,,10.000000,off,monopolar,visible_channels=32; plotted_points=2926; read_window_s=0.0068; downsample_s=0.0089; plot_s=0.0947
D:\omni dataset complement\updated_dataset\bids\sub-hupHUP130\ses-01\ieeg\sub-hupHUP130_ses-01_task-interictal_run-02_ieeg.edf,0.083333,109,1024,after_render_short_window,0.114676,158.094,1312.402,94.673,,10.000000,off,monopolar,visible_channels=32; plotted_points=2926; read_window_s=0.0061; downsample_s=0.0085; plot_s=0.0983
D:\omni dataset complement\updated_dataset\bids\sub-hupHUP130\ses-01\ieeg\sub-hupHUP130_ses-01_task-interictal_run-02_ieeg.edf,0.083333,109,1024,after_render_short_window,0.111116,157.027,1311.328,97.708,,10.000000,off,monopolar,visible_channels=32; plotted_points=2926; read_window_s=0.0066; downsample_s=0.0083; plot_s=0.0946
D:\omni dataset complement\updated_dataset\bids\sub-hupHUP130\ses-01\ieeg\sub-hupHUP130_ses-01_task-interictal_run-02_ieeg.edf,0.083333,109,1024,after_render_short_window,0.106288,157.031,1311.328,102.100,,10.000000,off,monopolar,visible_channels=32; plotted_points=2926; read_window_s=0.0065; downsample_s=0.0083; plot_s=0.0897
D:\omni dataset complement\updated_dataset\bids\sub-hupHUP130\ses-01\ieeg\sub-hupHUP130_ses-01_task-interictal_run-02_ieeg.edf,0.083333,109,1024,after_scroll_jump,0.116143,163.746,1316.301,2.882,,10.000000,off,monopolar,visible_channels=32; plotted_points=2926; read_window_s=0.0064; downsample_s=0.0075; plot_s=0.1007
D:\omni dataset complement\updated_dataset\bids\sub-hupHUP130\ses-01\ieeg\sub-hupHUP130_ses-01_task-interictal_run-02_ieeg.edf,0.083333,109,1024,after_scroll_jump,0.140021,158.730,1311.789,27.096,,10.000000,off,monopolar,visible_channels=32; plotted_points=2926; read_window_s=0.0072; downsample_s=0.0104; plot_s=0.1207
D:\omni dataset complement\updated_dataset\bids\sub-hupHUP130\ses-01\ieeg\sub-hupHUP130_ses-01_task-interictal_run-02_ieeg.edf,0.083333,109,1024,after_scroll_jump,0.302097,282.586,1316.715,108.901,,10.000000,off,monopolar,visible_channels=32; plotted_points=2926; read_window_s=0.0059; downsample_s=0.0078; plot_s=0.2868
D:\omni dataset complement\updated_dataset\bids\sub-hupHUP130\ses-01\ieeg\sub-hupHUP130_ses-01_task-interictal_run-02_ieeg.edf,0.083333,109,1024,after_scroll_jump,0.144418,168.426,1316.453,11.619,,10.000000,off,monopolar,visible_channels=32; plotted_points=2926; read_window_s=0.0137; downsample_s=0.0100; plot_s=0.1182
D:\omni dataset complement\updated_dataset\bids\sub-hupHUP130\ses-01\ieeg\sub-hupHUP130_ses-01_task-interictal_run-02_ieeg.edf,0.083333,109,1024,after_scroll_jump,0.132178,183.211,1316.785,33.770,,10.000000,off,monopolar,visible_channels=32; plotted_points=2926; read_window_s=0.0071; downsample_s=0.0111; plot_s=0.1119
